,lot_area,CropETo,TotalWater,water_dist,castorieindex,firstfloor,add_g_size,parval
9233,0.15,3.1275,4.46785714285714,4.189524900028141,12.0,0.0,0.0,40859.0
9234,0.14,3.1275,4.46785714285714,4.205755436258771,65.0,0.0,0.0,40859.0
9235,0.14,3.1275,4.46785714285714,4.1881925657551164,29.0,0.0,0.0,40859.0
9236,0.15,3.1275,4.46785714285714,4.189240065561156,12.0,0.0,0.0,40859.0
9237,0.14,3.1275,4.46785714285714,4.202700075366857,65.0,0.0,0.0,40859.0
9238,0.06,3.1275,4.46785714285714,4.179609482857466,21.0,0.0,0.0,166464.0
9240,0.14,3.1275,4.46785714285714,4.201444897164873,12.0,2144.0,476.0,40859.0
9243,20.0,3.08916666666667,4.41309523809524,5.107864351499083,86.0,1810.0,722.0,652763.0
9244,4.99,3.265,4.6037037037037,14.24327678162415,20.0,1974.0,603.0,218667.0
9245,19.91,2.30333333333333,2.92666666666667,5.111196078546164,70.0,0.0,0.0,347331.0
9248,17.59,3.265,4.6037037037037,5.047923113693505,52.0,21291.0,980.0,3214569.0
9252,19.3,3.265,4.6037037037037,18.945542378577176,95.0,986.0,1160.0,219313.0
9253,20.0,3.265,4.6037037037037,10.825128621249833,72.0,636.0,224.0,207889.0
9254,0.86,2.30333333333333,2.92666666666667,18.690649023183752,57.0,1998.0,0.0,100829.0
9255,2.41,2.30333333333333,2.92666666666667,12.956024584081455,76.0,2085.0,3029.0,116502.0
9256,20.0,2.30333333333333,2.92666666666667,12.485263346206319,95.0,829.0,0.0,305733.0
9257,6.0,3.265,4.6037037037037,11.313436062801587,4.0,0.0,0.0,155019.0
9258,0.45,1.5683333333333302,3.08755337195328,5.127776004984148,46.0,0.0,0.0,62543.0
9259,0.35,1.5683333333333302,3.08755337195328,5.1284575643639885,95.0,0.0,0.0,62543.0
9260,10.0,2.30333333333333,2.92666666666667,17.31734057710998,95.0,1378.0,1630.0,125872.0
9261,18.54,2.30333333333333,2.92666666666667,15.484886159389735,90.0,1174.0,0.0,115893.0
9262,0.44,3.265,4.6037037037037,15.424319352373749,76.0,0.0,0.0,12240.0
9263,7.4,3.46416666666667,4.948809523809519,1.8491621900964084,81.0,1745.0,420.0,266618.0
9264,10.09,1.5683333333333302,3.08755337195328,2.14173521314098,23.0,1980.0,440.0,156409.0
9268,1.79,3.08916666666667,4.41309523809524,2.8951649062580227,72.0,2415.0,252.0,374544.0
9269,1.97,3.265,4.6037037037037,11.072832605093126,95.0,1365.0,1029.0,53746.0
9270,19.81,3.08916666666667,4.41309523809524,2.922533630725036,65.0,1650.0,384.0,506062.0
9271,6.21,3.265,4.6037037037037,13.506140995361482,95.0,122820.0,0.0,4562946.0
9272,55.23,3.265,4.6037037037037,11.330107058889107,100.0,0.0,0.0,590628.0
9273,2.44,1.5683333333333302,3.08755337195328,3.5999207710917784,24.0,1404.0,462.0,228888.0
9276,26.83,3.1275,4.46785714285714,3.107150257279596,42.0,0.0,0.0,464987.0
9277,14.1,2.0658333333333303,2.8339080459770094,6.42603029631599,42.0,1808.0,32.0,165041.0
